Holdings details

Total World Stock ETF (VT)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2241205,Curtiss-Wright Corp.,CW,<0.01%,Aerospace & Defense,US,---,"$1,443,198.50","15,475"
,6597368,Mitsui Chemicals Inc.,4183,<0.01%,Commodity Chemicals,JP,---,"$1,442,930.92","59,700"
,6657701,Oji Holdings Corp.,3861,<0.01%,Paper Products,JP,---,"$1,441,474.85","313,700"
,B011108,Cipla Ltd./India,CIPLA,<0.01%,Pharmaceuticals,IN,---,"$1,440,239.42","137,050"
,2640761,Noble Energy Inc.,NBL,<0.01%,Oil & Gas Exploration & Production,US,---,"$1,439,264.25","168,335"
,6600084,Mobile Telecommunications Co. KSC,ZAIN,<0.01%,Wireless Telecommunication Services,KW,---,"$1,437,851.99","767,489"
,2949758,Nexstar Media Group Inc.,NXST,<0.01%,Broadcasting,US,---,"$1,437,261.26","15,982"
,BG0Q4Z2,Jefferies Financial Group Inc.,JEF,<0.01%,Multi-Sector Holdings,US,---,"$1,435,680.00","79,760"
,B2Q8249,Graphic Packaging Holding Co.,GPK,<0.01%,Paper Packaging,US,---,"$1,435,277.85","101,865"
,BD1MGQ3,Kinsale Capital Group Inc.,KNSL,<0.01%,Property & Casualty Insurance,US,---,"$1,434,717.92","7,544"
,2601326,Meritage Homes Corp.,MTH,<0.01%,Homebuilding,US,---,"$1,434,628.44","12,996"
,6043214,Singapore Technologies Engineering Ltd.,S63,<0.01%,Aerospace & Defense,SG,---,"$1,430,627.76","561,400"
,B52KRV2,Kemper Corp.,KMPR,<0.01%,Property & Casualty Insurance,US,---,"$1,429,360.04","21,388"
,6897024,Toppan Printing Co. Ltd.,7911,<0.01%,Commercial Printing,JP,---,"$1,429,040.26","101,100"
,6535517,China Resources Gas Group Ltd.,1193,<0.01%,Gas Utilities,CN,---,"$1,427,799.44","318,000"
,6263830,China Unicom Hong Kong Ltd.,762,<0.01%,Integrated Telecommunication Services,CN,---,"$1,426,717.50","2,173,574"
,B15SK50,Amorepacific Corp.,090430,<0.01%,Personal Products,KR,---,"$1,426,588.68","10,233"
,5633962,Nemetschek SE,NEM,<0.01%,Application Software,DE,---,"$1,425,068.92","19,497"
,6801575,Shoprite Holdings Ltd.,SHP,<0.01%,Food Retail,ZA,---,"$1,424,687.07","174,652"
,BN85P68,Kinaxis Inc.,KXS,<0.01%,Application Software,CA,---,"$1,424,644.05","9,678"
,B233HS6,Power Grid Corp. of India Ltd.,POWERGRID,<0.01%,Electric Utilities,IN,---,"$1,423,434.36","645,426"
,2197308,Cirrus Logic Inc.,CRUS,<0.01%,Semiconductors,US,---,"$1,423,195.00","21,100"
,B1Y1SQ7,Jeronimo Martins SGPS SA,JMT,<0.01%,Food Retail,PT,---,"$1,422,847.82","88,483"
,6218670,Boral Ltd.,BLD,<0.01%,Construction Materials,AU,---,"$1,422,271.23","430,400"
,2417921,Healthcare Realty Trust Inc.,HR,<0.01%,Health Care REITs,US,---,"$1,421,844.72","47,206"
,6487232,Keihan Holdings Co. Ltd.,9045,<0.01%,Industrial Conglomerates,JP,---,"$1,420,040.94","34,200"
,B15F6S6,Charter Hall Group,CHC,<0.01%,Diversified REITs,AU,---,"$1,419,605.93","158,209"
,6455789,Ito En Ltd.,2593,<0.01%,Soft Drinks,JP,---,"$1,419,233.11","19,900"
,B56LHP5,Win Semiconductors Corp.,3105,<0.01%,Semiconductors,TW,---,"$1,417,415.22","142,151"
,BBG9VN7,AVEVA Group plc,AVV,<0.01%,Application Software,GB,---,"$1,416,636.66","22,968"
,B5LMKP4,NEXTDC Ltd.,NXT,<0.01%,Internet Services & Infrastructure,AU,---,"$1,415,644.25","159,525"
,B013D75,Stamps.com Inc.,STMP,<0.01%,Internet & Direct Marketing Retail,US,---,"$1,414,617.45","5,871"
,BYYXHN4,Wingstop Inc.,WING,<0.01%,Restaurants,US,---,"$1,413,780.90","10,346"
,BD8GL18,Postal Savings Bank of China Co. Ltd.,1658,<0.01%,Diversified Banks,CN,---,"$1,412,917.49","3,354,000"
,0875413,Tate & Lyle plc,TATE,<0.01%,Packaged Foods & Meats,GB,---,"$1,412,197.22","164,550"
,0136701,British Land Co. plc,BLND,<0.01%,Retail REITs,GB,---,"$1,412,100.87","323,919"
,B1FN8X9,Metso Outotec Oyj,MOCORP,<0.01%,Construction Machinery & Heavy Trucks,FI,---,"$1,412,032.93","202,627"
,6487306,Keikyu Corp.,9006,<0.01%,Railroads,JP,---,"$1,411,422.84","91,700"
,BD97JW7,Concordia Financial Group Ltd.,7186,<0.01%,Regional Banks,JP,---,"$1,411,023.41","405,679"
,BLFHPV8,Parkland Corp./Canada,PKI,<0.01%,Oil & Gas Refining & Marketing,CA,---,"$1,409,166.84","53,291"
,BXDZ972,Tryg A/S,TRYG,<0.01%,Property & Casualty Insurance,DK,---,"$1,408,778.04","44,748"
,BMCPB81,CMC Materials Inc.,CCMP,<0.01%,Semiconductor Equipment,US,---,"$1,408,677.84","9,864"
,B2Q14Z3,Want Want China Holdings Ltd.,151,<0.01%,Packaged Foods & Meats,HK,---,"$1,406,969.81","2,013,467"
,6173401,Coway Co. Ltd.,021240,<0.01%,Household Appliances,KR,---,"$1,406,681.38","20,683"
,B0S1651,ICA Gruppen AB,ICA,<0.01%,Food Retail,SE,---,"$1,406,499.12","27,686"
,6602518,Divi's Laboratories Ltd.,DIVISLAB,<0.01%,Life Sciences Tools & Services,IN,---,"$1,404,144.73","33,916"
,B019KW7,J Sainsbury plc,SBRY,<0.01%,Food Retail,GB,---,"$1,403,988.53","570,230"
,2296937,IDACORP Inc.,IDA,<0.01%,Electric Utilities,US,---,"$1,403,283.70","17,563"
,B3NXMJ9,Wendy's Co.,WEN,<0.01%,Restaurants,US,---,"$1,402,935.17","62,926"
,6657604,Oil Search Ltd.,OSH,<0.01%,Oil & Gas Exploration & Production,AU,---,"$1,401,468.16","732,704"
,BFX05H3,Absa Group Ltd.,ABG,<0.01%,Diversified Banks,ZA,---,"$1,401,264.53","264,462"
,BVZHXQ9,Hiscox Ltd.,HSX,<0.01%,Property & Casualty Insurance,GB,---,"$1,400,986.46","121,413"
,6986427,Yokogawa Electric Corp.,6841,<0.01%,Electronic Equipment & Instruments,JP,---,"$1,400,752.74","88,200"
,B04NJM9,Dolby Laboratories Inc.,DLB,<0.01%,Electronic Components,US,---,"$1,399,701.04","21,118"
,BYQBFT8,Nutanix Inc.,NTNX,<0.01%,Application Software,US,---,"$1,399,203.12","63,084"
,5131091,State Bank of India,SBID,<0.01%,Diversified Banks,IN,GDR,"$1,397,904.24","55,035"
,6525875,SinoPac Financial Holdings Co. Ltd.,2890,<0.01%,Diversified Banks,TW,---,"$1,397,679.47","3,706,756"
,7634394,Telecom Italia SpA/Milano,TIT,<0.01%,Integrated Telecommunication Services,IT,---,"$1,397,292.18","3,486,201"
,5334588,Rheinmetall AG,RHM,<0.01%,Industrial Conglomerates,DE,---,"$1,396,808.90","15,574"
,BYND5N1,Ashland Global Holdings Inc.,ASH,<0.01%,Specialty Chemicals,US,---,"$1,396,769.40","19,695"
,2531832,Littelfuse Inc.,LFUS,<0.01%,Electronic Components,US,---,"$1,396,020.48","7,872"
,B033TJ7,Texas Roadhouse Inc.,TXRH,<0.01%,Restaurants,US,---,"$1,395,981.56","22,964"
,6487425,Keisei Electric Railway Co. Ltd.,9009,<0.01%,Railroads,JP,---,"$1,395,254.29","49,400"
,6429405,Hitachi Construction Machinery Co. Ltd.,6305,<0.01%,Construction Machinery & Heavy Trucks,JP,---,"$1,395,151.84","38,500"
,B0D0006,BIM Birlesik Magazalar AS,BIMAS,<0.01%,Food Retail,TR,---,"$1,395,000.55","155,585"
,BGHWH98,Woori Financial Group Inc.,316140,<0.01%,Diversified Banks,KR,---,"$1,394,853.35","190,760"
,B17M2Q5,Ahli United Bank BSC,AUB,<0.01%,Diversified Banks,KW,---,"$1,394,429.70","1,821,559"
,BMW8YT2,Brookfield Renewable Corp.,BEPC,<0.01%,Renewable Electricity,US,---,"$1,393,976.80","23,788"
,BF14BT1,Ares Management Corp.,ARES,<0.01%,Asset Management & Custody Banks,US,---,"$1,393,560.34","34,477"
,BVSS671,Sunrise Communications Group AG,SRCG,<0.01%,Integrated Telecommunication Services,CH,---,"$1,393,537.69","11,778"
,BFWGXR8,Essent Group Ltd.,ESNT,<0.01%,Thrifts & Mortgage Finance,US,---,"$1,393,537.53","37,653"
,BHNCRK0,ESR Cayman Ltd.,1821,<0.01%,Diversified Real Estate Activites,HK,---,"$1,393,279.41","446,218"
,BF7MPL9,SSR Mining Inc.,SSRM,<0.01%,Gold,CA,---,"$1,392,910.10","74,637"
,BK1VBN1,GSX Techedu Inc.,GSX,<0.01%,Education Services,CN,ADR,"$1,392,559.94","15,454"
,0240549,Schroders plc,SDR,<0.01%,Asset Management & Custody Banks,GB,---,"$1,392,009.70","40,081"
,6431756,China Development Financial Holding Corp.,2883,<0.01%,Life & Health Insurance,TW,---,"$1,389,781.90","4,698,580"
,BYZR014,Amundi SA,AMUN,<0.01%,Asset Management & Custody Banks,FR,---,"$1,389,683.42","19,716"
,B5KQGT3,Petronas Chemicals Group Bhd.,PCHEM,<0.01%,Commodity Chemicals,MY,---,"$1,388,777.64","1,024,989"
,6758455,Ryohin Keikaku Co. Ltd.,7453,<0.01%,General Merchandise Stores,JP,---,"$1,388,634.64","83,570"
,B01FLG6,G4S plc,GFS,<0.01%,Security & Alarm Services,GB,---,"$1,388,042.68","538,162"
,4651459,OMV AG,OMV,<0.01%,Integrated Oil & Gas,AT,---,"$1,387,405.82","50,707"
,6718255,Great Wall Motor Co. Ltd.,2333,<0.01%,Automobile Manufacturers,CN,---,"$1,386,031.63","1,086,558"
,6036548,NET One Systems Co. Ltd.,7518,<0.01%,IT Consulting & Other Services,JP,---,"$1,385,762.25","30,500"
,BZ13MZ1,Athene Holding Ltd.,ATH,<0.01%,Life & Health Insurance,US,---,"$1,384,874.88","40,636"
,BK63SF3,Envista Holdings Corp.,NVST,<0.01%,Health Care Equipment,US,---,"$1,384,177.80","56,085"
,BG804F6,Ambev SA,ABEV,<0.01%,Brewers,BR,ADR,"$1,384,157.34","612,459"
,B1VSK54,Industrivarden AB,INDU C,<0.01%,Multi-Sector Holdings,SE,---,"$1,380,319.09","51,904"
,B4PZ892,Allison Transmission Holdings Inc.,ALSN,<0.01%,Construction Machinery & Heavy Trucks,US,---,"$1,380,299.20","39,280"
,BD6H7M6,Adani Green Energy Ltd.,ADANIGREEN,<0.01%,Renewable Electricity,IN,---,"$1,380,153.88","137,075"
,2166160,Cameco Corp.,CCO,<0.01%,Coal & Consumable Fuels,CA,---,"$1,379,797.98","136,600"
,BZ2JCC5,Wright Medical Group NV,WMGI,<0.01%,Health Care Equipment,US,---,"$1,379,552.88","45,172"
,6985264,Yamaha Motor Co. Ltd.,7272,<0.01%,Motorcycle Manufacturers,JP,---,"$1,378,961.30","94,900"
,4354134,United Internet AG,UTDI,<0.01%,Integrated Telecommunication Services,DE,---,"$1,377,628.64","36,023"
,BFYR8L8,Kojamo Oyj,KOJAMO,<0.01%,Real Estate Operating Companies,FI,---,"$1,377,177.45","64,121"
,6187855,Chang Hwa Commercial Bank Ltd.,2801,<0.01%,Diversified Banks,TW,---,"$1,376,349.07","2,286,731"
,2683410,Petroleo Brasileiro SA,PBR.A,<0.01%,Integrated Oil & Gas,US,ADR,"$1,374,961.28","195,307"
,B0BV2M7,Builders FirstSource Inc.,BLDR,<0.01%,Building Products,US,---,"$1,373,856.54","42,117"
,BZ60N32,SBI Life Insurance Co. Ltd.,SBILIFE,<0.01%,Life & Health Insurance,IN,---,"$1,373,284.32","124,792"
,6870564,Taiyo Yuden Co. Ltd.,6976,<0.01%,Electronic Components,JP,---,"$1,370,166.58","43,500"
,6198578,REA Group Ltd.,REA,<0.01%,Interactive Media & Services,AU,---,"$1,369,456.51","17,198"
,6356365,Fuji Electric Co. Ltd.,6504,<0.01%,Electrical Components & Equipment,JP,---,"$1,368,739.16","43,177"
,B29SHS5,BYD Electronic International Co. Ltd.,285,<0.01%,Communications Equipment,CN,---,"$1,367,716.01","269,500"
,B59FPS3,Mobile TeleSystems PJSC,MTSS,<0.01%,Wireless Telecommunication Services,RU,---,"$1,363,213.56","312,742"
,2002918,Aaron's Inc.,AAN,<0.01%,Homefurnishing Retail,US,---,"$1,362,659.10","24,054"
,BJ2ZH37,iA Financial Corp. Inc.,IAG,<0.01%,Life & Health Insurance,CA,---,"$1,362,600.54","39,145"
,4538002,L E Lundbergforetagen AB,LUND B,<0.01%,Multi-Sector Holdings,SE,---,"$1,362,109.80","27,568"
,B7D65M0,Globus Medical Inc.,GMED,<0.01%,Health Care Equipment,US,---,"$1,360,562.00","27,475"
,6569527,Marui Group Co. Ltd.,8252,<0.01%,Department Stores,JP,---,"$1,360,519.95","70,900"
,2452698,II-VI Inc.,IIVI,<0.01%,Electronic Components,US,---,"$1,357,340.40","33,465"
,BJ7W9K4,EQT AB,EQT,<0.01%,Asset Management & Custody Banks,SE,---,"$1,356,281.96","69,895"
,BMW4CV8,Eicher Motors Ltd.,EICHERMOT,<0.01%,Construction Machinery & Heavy Trucks,IN,---,"$1,355,178.80","45,390"
,6718716,Formosa Petrochemical Corp.,6505,<0.01%,Oil & Gas Refining & Marketing,TW,---,"$1,354,587.59","488,140"
,6702623,JB Hi-Fi Ltd.,JBH,<0.01%,Computer & Electronics Retail,AU,---,"$1,353,812.56","39,818"
,6161525,Ryman Healthcare Ltd.,RYM,<0.01%,Health Care Facilities,NZ,---,"$1,353,386.55","144,055"
,2254645,Gildan Activewear Inc.,GIL,<0.01%,"Apparel, Accessories & Luxury Goods",CA,---,"$1,352,999.08","68,658"
,B0D6P43,Mapletree Logistics Trust,M44U,<0.01%,Industrial REITs,SG,---,"$1,351,572.34","897,299"
,2351449,FTI Consulting Inc.,FCN,<0.01%,Research & Consulting Services,US,---,"$1,351,435.41","12,753"
,BQT3XY6,CyberArk Software Ltd.,CYBR,<0.01%,Systems Software,US,---,"$1,350,561.78","13,059"
,B06QFB7,IG Group Holdings plc,IGG,<0.01%,Investment Banking & Brokerage,GB,---,"$1,350,412.53","132,199"
,6810429,Sino Land Co. Ltd.,83,<0.01%,Real Estate Development,HK,---,"$1,348,980.41","1,152,279"
,4525189,Wartsila OYJ Abp,WRT1V,<0.01%,Industrial Machinery,FI,---,"$1,347,877.55","171,635"
,2474164,EMCOR Group Inc.,EME,<0.01%,Construction & Engineering,US,---,"$1,347,699.84","19,904"
,BYZ62T3,Pure Storage Inc.,PSTG,<0.01%,"Technology Hardware, Storage & Periphera",US,---,"$1,343,100.69","87,271"
,6985026,Yamada Holdings Co. Ltd.,9831,<0.01%,Computer & Electronics Retail,JP,---,"$1,342,342.14","269,172"
,2162760,CAE Inc.,CAE,<0.01%,Aerospace & Defense,CA,---,"$1,342,087.22","91,738"
,BGLP8L2,IMI plc,IMI,<0.01%,Industrial Machinery,GB,---,"$1,340,543.46","99,375"
,6195900,Chugoku Electric Power Co. Inc.,9504,<0.01%,Electric Utilities,JP,---,"$1,339,052.08","107,100"
,6687214,Alfresa Holdings Corp.,2784,<0.01%,Health Care Distributors,JP,---,"$1,338,261.47","61,100"
,2299453,Enel Americas SA,ENELAM,<0.01%,Electric Utilities,CL,---,"$1,337,655.10","10,295,551"
,B07G378,Nokian Renkaat Oyj,TYRES,<0.01%,Tires & Rubber,FI,---,"$1,337,340.11","47,309"
,B1VP0K0,Rexel SA,RXL,<0.01%,Trading Companies & Distributors,FR,---,"$1,337,051.08","106,639"
,2730082,Regal Beloit Corp.,RBC,<0.01%,Electrical Components & Equipment,US,---,"$1,335,957.84","14,232"
,7187627,Lundin Energy AB,LUNE,<0.01%,Oil & Gas Exploration & Production,SE,---,"$1,335,268.95","67,333"
,B83X6P8,IHH Healthcare Bhd.,IHH,<0.01%,Health Care Facilities,MY,---,"$1,335,010.45","1,064,020"
,BDD85M8,Avast plc,AVST,<0.01%,Systems Software,GB,---,"$1,334,954.62","196,631"
,2598246,NeoGenomics Inc.,NEO,<0.01%,Life Sciences Tools & Services,US,---,"$1,334,311.30","36,170"
,B633D97,Zhongsheng Group Holdings Ltd.,881,<0.01%,Automotive Retail,CN,---,"$1,333,588.97","212,000"
,6146500,Brother Industries Ltd.,6448,<0.01%,"Technology Hardware, Storage & Periphera",JP,---,"$1,333,039.90","83,800"
,BZBYJJ7,JSW Steel Ltd.,JSWSTEEL,<0.01%,Steel,IN,---,"$1,332,634.82","352,180"
,BDT88L2,Rubis SCA,RUI,<0.01%,Gas Utilities,FR,---,"$1,332,227.50","33,275"
,BJ0DP40,Adevinta ASA,ADE,<0.01%,Interactive Media & Services,NO,---,"$1,331,901.83","77,481"
,7113990,Clariant AG,CLN,<0.01%,Specialty Chemicals,CH,---,"$1,331,757.54","67,509"
,6171494,USS Co. Ltd.,4732,<0.01%,Automotive Retail,JP,---,"$1,327,689.09","74,200"
,2711656,New York Community Bancorp Inc.,NYCB,<0.01%,Thrifts & Mortgage Finance,US,---,"$1,321,430.22","159,786"
,BY7QXS7,Vicinity Centres,VCX,<0.01%,Retail REITs,AU,---,"$1,320,451.02","1,322,295"
,BDSV8H8,QTS Realty Trust Inc.,QTS,<0.01%,Specialized REITs,US,---,"$1,319,575.78","20,939"
,BP8XZL1,HealthEquity Inc.,HQY,<0.01%,Managed Health Care,US,---,"$1,319,130.23","25,679"
,0090498,Bellway plc,BWY,<0.01%,Homebuilding,GB,---,"$1,318,732.25","43,509"
,BGSQG47,Britannia Industries Ltd.,BRITANNIA,<0.01%,Packaged Foods & Meats,IN,---,"$1,317,385.99","25,526"
,2330318,Exponent Inc.,EXPO,<0.01%,Research & Consulting Services,US,---,"$1,316,276.22","18,274"
,6497963,Kurita Water Industries Ltd.,6370,<0.01%,Industrial Machinery,JP,---,"$1,316,134.11","39,800"
,B0R7JF1,Ipsen SA,IPN,<0.01%,Pharmaceuticals,FR,---,"$1,313,789.11","12,568"
,BP3R2J5,CITIC Securities Co. Ltd.,600030,<0.01%,Investment Banking & Brokerage,CN,---,"$1,311,289.66","295,400"
,5810066,Polski Koncern Naftowy ORLEN SA,PKN,<0.01%,Oil & Gas Refining & Marketing,PL,---,"$1,309,574.48","110,344"
,6619507,NGK Insulators Ltd.,5333,<0.01%,Industrial Machinery,JP,---,"$1,309,334.25","91,700"
,6200194,Itochu Techno-Solutions Corp.,4739,<0.01%,IT Consulting & Other Services,JP,---,"$1,308,773.04","34,500"
,6472960,Jardine Strategic Holdings Ltd.,J37,<0.01%,Industrial Conglomerates,HK,---,"$1,308,471.42","65,995"
,B85LKS1,AAC Technologies Holdings Inc.,2018,<0.01%,Electronic Manufacturing Services,HK,---,"$1,308,450.89","240,500"
,5809428,Koninklijke Vopak NV,VPK,<0.01%,Oil & Gas Storage & Transportation,NL,---,"$1,307,982.99","23,239"
,2506658,Lattice Semiconductor Corp.,LSCC,<0.01%,Semiconductors,US,---,"$1,306,762.08","45,123"
,6456102,Ibiden Co. Ltd.,4062,<0.01%,Electronic Components,JP,---,"$1,305,152.35","38,300"
,6543792,JFE Holdings Inc.,5411,<0.01%,Steel,JP,---,"$1,304,431.69","186,300"
,BD5CPQ2,Hangzhou Hikvision Digital Technology Co. Ltd.,002415,<0.01%,Electronic Equipment & Instruments,CN,---,"$1,301,915.40","231,300"
,B11HK39,Norsk Hydro ASA,NHY,<0.01%,Aluminum,NO,---,"$1,300,668.55","471,218"
,2677606,Axis Capital Holdings Ltd.,AXS,<0.01%,Property & Casualty Insurance,US,---,"$1,299,840.60","29,515"
,2980939,Carter's Inc.,CRI,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$1,299,046.32","15,004"
,2480677,Devon Energy Corp.,DVN,<0.01%,Oil & Gas Exploration & Production,US,---,"$1,298,233.64","137,234"
,6740582,Rinnai Corp.,5947,<0.01%,Household Appliances,JP,---,"$1,297,298.76","13,300"
,4790534,Schibsted ASA,SCHA,<0.01%,Publishing,NO,---,"$1,296,937.89","29,233"
,6466457,JG Summit Holdings Inc.,JGS,<0.01%,Industrial Conglomerates,PH,---,"$1,296,334.20","1,040,470"
,3169889,William Hill plc,WMH,<0.01%,Casinos & Gaming,GB,---,"$1,296,316.72","364,676"
,4177988,Cofinimmo SA,COFB,<0.01%,Diversified REITs,BE,---,"$1,295,598.91","8,616"
,4572709,Bollore SA,BOL,<0.01%,Movies & Entertainment,FR,---,"$1,295,031.09","347,676"
,5735631,TAG Immobilien AG,TEG,<0.01%,Real Estate Operating Companies,DE,---,"$1,293,487.57","42,896"
,B3F1XM1,Grand Canyon Education Inc.,LOPE,<0.01%,Education Services,US,---,"$1,291,750.46","16,159"
,BJ5FZ74,Adaptive Biotechnologies Corp.,ADPT,<0.01%,Life Sciences Tools & Services,US,---,"$1,291,369.65","26,555"
,2196026,Empresas COPEC SA,COPEC,<0.01%,Oil & Gas Refining & Marketing,CL,---,"$1,290,910.24","172,121"
,BD3VFW7,ConvaTec Group plc,CTEC,<0.01%,Health Care Supplies,GB,---,"$1,290,211.05","560,057"
,2411053,Harley-Davidson Inc.,HOG,<0.01%,Motorcycle Manufacturers,US,---,"$1,287,270.24","52,456"
,B128CF7,Yanbu National Petrochemical Co.,2290,<0.01%,Commodity Chemicals,SA,---,"$1,286,093.52","82,027"
,6196152,CITIC Ltd.,267,<0.01%,Industrial Conglomerates,CN,---,"$1,285,718.24","1,734,000"
,BFM6T36,Fabege AB,FABG,<0.01%,Real Estate Operating Companies,SE,---,"$1,285,487.57","92,951"
,B1BDGY0,Godrej Consumer Products Ltd.,GODREJCP,<0.01%,Personal Products,IN,---,"$1,285,343.97","130,325"
,0692861,UNITE Group plc,UTG,<0.01%,Residential REITs,GB,---,"$1,284,920.44","118,834"
,BYQ7HZ6,Just Eat Takeaway.com NV,JETl,<0.01%,Internet & Direct Marketing Retail,NL,---,"$1,283,364.79","11,464"
,2823777,Southern Copper Corp.,SCCO,<0.01%,Copper,US,---,"$1,283,359.23","28,349"
,B3N4753,Terreno Realty Corp.,TRNO,<0.01%,Industrial REITs,US,---,"$1,282,972.04","23,429"
,0330860,Spectris plc,SXS,<0.01%,Electronic Equipment & Instruments,GB,---,"$1,282,552.48","40,852"
,B7FNMQ2,Element Fleet Management Corp.,EFN,<0.01%,Specialized Finance,CA,---,"$1,282,311.02","154,103"
,BK5FNZ5,TCF Financial Corp.,TCF,<0.01%,Regional Banks,US,---,"$1,279,637.44","54,779"
,B1QH7Y4,Volvo AB,VOLV A,<0.01%,Construction Machinery & Heavy Trucks,SE,---,"$1,279,398.29","66,253"
,B5L2DG6,Charoen Pokphand Foods PCL,CPF-F,<0.01%,Packaged Foods & Meats,TH,---,"$1,279,268.53","1,443,300"
,6287841,Chunghwa Telecom Co. Ltd.,2412,<0.01%,Integrated Telecommunication Services,TW,---,"$1,278,718.05","346,000"
,B63DG21,Powszechny Zaklad Ubezpieczen SA,PZU,<0.01%,Multi-line Insurance,PL,---,"$1,278,024.85","199,158"
,6428907,Hisamitsu Pharmaceutical Co. Inc.,4530,<0.01%,Pharmaceuticals,JP,---,"$1,273,006.33","24,900"
,B1V74X7,JBS SA,JBSS3,<0.01%,Packaged Foods & Meats,BR,---,"$1,272,751.41","345,798"
,6517407,HLB Inc.,028300,<0.01%,Leisure Products,KR,---,"$1,271,431.07","14,423"
,BZ6CZ43,Uniper SE,UN01,<0.01%,Independent Power Producers & Energy Traders,DE,---,"$1,270,513.75","39,360"
,B132NM2,Saudi Electricity Co.,5110,<0.01%,Electric Utilities,SA,---,"$1,267,464.02","276,044"
,B09M9F4,Elia Group SA/NV,ELI,<0.01%,Electric Utilities,BE,---,"$1,264,809.37","12,652"
,BC9S149,Physicians Realty Trust,DOC,<0.01%,Health Care REITs,US,---,"$1,264,374.36","70,596"
,BWVFKQ3,Schibsted ASA,SCHB,<0.01%,Publishing,NO,---,"$1,264,311.07","31,735"
,2849234,Stifel Financial Corp.,SF,<0.01%,Investment Banking & Brokerage,US,---,"$1,262,483.20","24,970"
,BYXH7P9,ICICI Lombard General Insurance Co. Ltd.,ICICIGI,<0.01%,Property & Casualty Insurance,IN,---,"$1,261,845.67","71,647"
,BD8S5H8,Novanta Inc.,NOVT,<0.01%,Electronic Equipment & Instruments,US,---,"$1,261,657.18","11,977"
,B1685L0,Info Edge India Ltd.,NAUKRI,<0.01%,Interactive Media & Services,IN,---,"$1,260,721.82","25,535"
,2043962,Apache Corp.,APA,<0.01%,Oil & Gas Exploration & Production,US,---,"$1,260,599.05","133,115"
,2096847,SL Green Realty Corp.,SLG,<0.01%,Office REITs,US,---,"$1,260,104.75","27,175"
,B45K9N8,Marriott Vacations Worldwide Corp.,VAC,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$1,259,534.70","13,870"
,BKKDH30,Fiverr International Ltd.,FVRR,<0.01%,Internet & Direct Marketing Retail,US,---,"$1,259,436.76","9,062"
,6297356,Dabur India Ltd.,DABUR,<0.01%,Personal Products,IN,---,"$1,258,513.85","181,560"
,6286611,Ansell Ltd.,ANN,<0.01%,Health Care Supplies,AU,---,"$1,258,063.40","47,291"
,2239556,Cullen/Frost Bankers Inc.,CFR,<0.01%,Regional Banks,US,---,"$1,257,832.55","19,669"
,BJ0KXV4,ONE Gas Inc.,OGS,<0.01%,Gas Utilities,US,---,"$1,257,293.19","18,219"
,BYSXJB2,Dometic Group AB,DOM,<0.01%,Auto Parts & Equipment,SE,---,"$1,257,224.82","101,828"
,4661607,Verbund AG,VER,<0.01%,Electric Utilities,AT,---,"$1,256,088.81","23,000"
,BJZ2ZR5,Varonis Systems Inc.,VRNS,<0.01%,Systems Software,US,---,"$1,255,885.02","10,881"
,BGR7KH2,YETI Holdings Inc.,YETI,<0.01%,Leisure Products,US,---,"$1,255,364.00","27,700"
,BDQQ1Q5,Holmen AB,HOLM B,<0.01%,Paper Products,SE,---,"$1,253,071.87","33,771"
,B5VJH76,BDO Unibank Inc.,BDO,<0.01%,Diversified Banks,PH,---,"$1,252,391.06","701,864"
,2473138,Rayonier Inc.,RYN,<0.01%,Specialized REITs,US,---,"$1,252,119.08","47,357"
,B7VY430,Via Varejo S/A,VVAR3,<0.01%,Home Improvement Retail,BR,---,"$1,251,808.11","405,189"
,2975098,Halozyme Therapeutics Inc.,HALO,<0.01%,Biotechnology,US,---,"$1,250,665.20","47,590"
,B28XXH2,Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,<0.01%,Marine Ports & Services,IN,---,"$1,249,887.07","268,428"
,2288406,Flowserve Corp.,FLS,<0.01%,Industrial Machinery,US,---,"$1,247,480.48","45,712"
,6927374,Venture Corp. Ltd.,V03,<0.01%,Electronic Manufacturing Services,SG,---,"$1,246,673.33","87,800"
,BZ0P4R4,Infrastrutture Wireless Italiane SPA,INW,<0.01%,Integrated Telecommunication Services,IT,---,"$1,245,840.11","112,926"
,4152952,Belimo Holding AG,BEAN,<0.01%,Building Products,CH,---,"$1,245,753.60",165
,BH4DMW9,Silergy Corp.,6415,<0.01%,Semiconductors,TW,---,"$1,245,025.10","21,000"
,6414401,Haseko Corp.,1808,<0.01%,Homebuilding,JP,---,"$1,244,753.28","94,500"
,0773960,Travis Perkins plc,TPK,<0.01%,Trading Companies & Distributors,GB,---,"$1,244,470.71","88,946"
,6086242,DiGi.Com Bhd.,DIGI,<0.01%,Wireless Telecommunication Services,MY,---,"$1,244,059.33","1,279,800"
,6137720,Unimicron Technology Corp.,3037,<0.01%,Electronic Components,TW,---,"$1,242,115.56","479,000"
,BFSSBH4,Cembra Money Bank AG,CMBN,<0.01%,Consumer Finance,CH,---,"$1,242,083.55","10,465"
